ZeroMQ Performance Log (Ours) - Transport: IPC+SHM+OURS
==================================================================================================================================
ID    Method               Ser(ms)    Send(ms)   Recv(ms)   Deser(ms)  Comm(ms)     GPU(ms)    Total(ms)    Sent(KB)   Recv(KB)  
22    Matmul               0.012      0.023      1.697      0.009      1.745        0.125      1.745        0.10       0.09      
23    BatchLinear          0.011      0.025      1.357      0.009      1.406        0.256      1.407        0.11       0.09      
24    BatchLinear          0.011      0.025      2.971      0.009      3.021        0.265      3.021        0.12       0.13      
25    BatchLinear          0.018      0.038      2.192      0.010      2.264        0.300      2.265        0.11       0.09      
26    BatchLinear          0.013      0.030      1.717      0.010      1.775        0.330      1.775        0.12       0.17      
27    Matmul               0.010      0.021      1.606      0.008      1.650        0.124      1.650        0.10       0.09      
28    Matmul               0.010      0.019      1.578      0.007      1.619        0.116      1.620        0.10       0.09      
29    BatchLinear          0.009      0.022      1.253      0.008      1.298        0.238      1.299        0.11       0.09      
30    BatchLinear          0.010      0.024      2.995      0.010      3.046        0.288      3.046        0.12       0.13      
31    BatchLinear          0.015      0.037      2.211      0.013      2.286        0.264      2.286        0.11       0.09      
32    BatchLinear          0.012      0.027      2.107      0.012      2.163        0.431      2.164        0.12       0.17      
33    Matmul               0.012      0.028      1.945      0.009      1.998        0.147      1.998        0.10       0.09      
34    Matmul               0.011      0.022      1.740      0.008      1.784        0.125      1.785        0.10       0.09      
35    BatchLinear          0.011      0.022      1.195      0.008      1.239        0.203      1.240        0.11       0.09      
36    BatchLinear          0.011      0.024      3.137      0.009      3.185        0.298      3.185        0.12       0.13      
37    BatchLinear          0.018      0.039      12.774     0.010      12.849       3.141      12.849       0.11       0.09      
38    BatchLinear          0.014      0.026      43.841     0.023      43.915       0.290      43.916       0.12       0.17      
39    Matmul               0.012      0.027      9.520      0.009      9.577        0.140      9.578        0.10       0.09      
40    Matmul               0.012      0.023      2.405      0.011      2.458        0.098      2.459        0.10       0.09      
41    BatchLinear          0.012      0.036      1.161      0.009      1.224        0.184      1.224        0.11       0.09      
42    BatchLinear          0.012      0.054      2.859      0.010      2.965        0.238      2.965        0.12       0.13      
43    BatchLinear          0.012      0.026      2.212      0.010      2.266        0.227      2.266        0.11       0.09      
44    BatchLinear          0.013      0.027      1.679      0.011      1.737        0.288      1.737        0.12       0.17      
45    Matmul               0.012      0.023      1.899      0.010      1.950        0.122      1.951        0.10       0.09      
46    Matmul               0.012      0.025      1.568      0.008      1.620        0.113      1.620        0.10       0.09      
47    BatchLinear          0.011      0.061      1.137      0.009      1.225        0.192      1.225        0.11       0.09      
48    BatchLinear          0.011      0.026      2.955      0.010      3.009        0.242      3.009        0.12       0.13      
49    BatchLinear          0.011      0.024      2.058      0.010      2.109        0.227      2.110        0.11       0.09      
50    BatchLinear          0.012      0.028      1.659      0.011      1.715        0.296      1.716        0.12       0.17      
51    Matmul               0.011      0.024      2.026      0.009      2.075        0.124      2.076        0.10       0.09      
52    Matmul               0.012      0.033      1.672      0.008      1.731        0.113      1.731        0.10       0.09      
53    BatchLinear          0.011      1.169      0.010      0.009      1.204        0.191      1.205        0.11       0.09      
54    BatchLinear          0.011      0.134      2.811      0.010      2.976        0.245      2.976        0.12       0.13      
55    BatchLinear          0.029      0.067      2.746      0.027      2.876        0.200      2.877        0.11       0.09      
56    BatchLinear          0.014      0.030      2.369      0.011      2.429        0.319      2.429        0.12       0.17      
57    Matmul               0.012      0.030      2.343      0.011      2.400        0.126      2.401        0.10       0.09      
58    Matmul               0.011      0.023      1.562      0.008      1.608        0.104      1.608        0.10       0.09      
59    BatchLinear          0.011      0.021      1.144      0.008      1.188        0.190      1.189        0.11       0.09      
60    BatchLinear          0.012      0.023      2.806      0.011      2.857        0.224      2.857        0.12       0.13      
61    BatchLinear          0.018      0.036      2.857      0.013      2.930        0.218      2.930        0.11       0.09      
62    BatchLinear          0.014      0.026      2.330      0.010      2.384        0.276      2.385        0.12       0.17      
63    Matmul               0.012      0.029      57.877     0.012      57.938       0.129      57.938       0.10       0.09      
64    Matmul               0.013      0.025      36.132     0.021      36.204       0.131      36.205       0.10       0.09      
65    BatchLinear          0.010      0.021      1.515      0.007      1.558        0.185      1.558        0.11       0.09      
66    BatchLinear          0.011      0.021      3.188      0.009      3.233        0.254      3.233        0.12       0.13      
67    BatchLinear          0.016      0.033      4.082      0.010      4.146        0.186      4.146        0.11       0.09      
68    BatchLinear          0.014      0.029      3.864      0.017      3.934        0.285      3.935        0.12       0.17      
69    Matmul               0.013      0.028      2.373      0.011      2.429        0.136      2.429        0.10       0.09      
70    Matmul               0.012      0.024      1.650      0.009      1.698        0.111      1.699        0.10       0.09      
71    BatchLinear          0.011      0.022      1.204      0.008      1.249        0.188      1.250        0.11       0.09      
72    BatchLinear          0.016      0.028      3.952      0.012      4.017        0.284      4.018        0.12       0.13      
73    BatchLinear          0.017      0.036      20.045     0.012      20.118       0.256      20.118       0.11       0.09      
74    BatchLinear          0.014      0.026      42.023     0.012      42.085       0.321      42.086       0.12       0.17      
75    Matmul               0.016      0.043      40.789     0.023      40.885       0.130      40.886       0.10       0.09      
76    Matmul               0.014      0.029      22.276     0.022      22.356       0.150      22.357       0.10       0.09      
77    BatchLinear          0.014      0.029      28.228     0.010      28.290       0.210      28.290       0.11       0.09      
78    BatchLinear          0.014      0.026      6.944      0.010      7.002        0.256      7.003        0.12       0.13      
79    BatchLinear          0.016      0.037      21.403     0.013      21.478       0.214      21.478       0.11       0.09      
80    BatchLinear          0.015      0.033      31.507     0.013      31.577       0.302      31.577       0.12       0.17      
81    Matmul               0.013      0.027      1.995      0.012      2.057        0.127      2.057        0.10       0.09      
82    Matmul               0.014      0.031      1.566      0.008      1.624        0.114      1.625        0.10       0.09      
83    BatchLinear          0.010      0.018      8.760      0.006      8.799        0.203      8.799        0.11       0.09      
84    BatchLinear          0.012      0.027      3.162      0.011      3.218        0.241      3.218        0.12       0.13      
85    BatchLinear          0.018      0.037      2.477      0.011      2.549        0.207      2.550        0.11       0.09      
86    BatchLinear          0.013      0.027      1.617      0.011      1.673        0.273      1.673        0.12       0.17      
87    Matmul               0.010      0.022      34.331     0.010      34.381       0.132      34.382       0.10       0.09      
88    Matmul               0.012      0.023      31.768     0.011      31.822       0.117      31.823       0.10       0.09      
89    BatchLinear          0.012      0.028      1.152      0.009      1.206        0.196      1.207        0.11       0.09      
90    BatchLinear          0.016      0.033      12.570     0.014      12.641       0.257      12.642       0.12       0.13      
91    BatchLinear          0.016      0.031      7.978      0.014      8.049        0.184      8.050        0.11       0.09      
92    BatchLinear          0.015      0.033      37.448     0.012      37.516       0.299      37.517       0.12       0.17      
93    Matmul               0.014      0.029      9.405      0.009      9.460        0.129      9.461        0.10       0.09      
94    Matmul               0.011      0.022      2.298      0.010      2.348        0.095      2.349        0.10       0.09      
95    BatchLinear          0.011      0.024      4.634      0.012      4.687        0.153      4.688        0.11       0.09      
96    BatchLinear          0.012      0.024      2.949      0.011      3.003        0.252      3.003        0.12       0.13      
97    BatchLinear          0.018      0.035      1.821      0.012      1.892        0.202      1.893        0.11       0.09      
98    LMHead               0.011      0.026      0.887      0.007      0.935        0.000      0.936        0.07       0.07      

========================================================================================================================
SUMMARY (Our Scheme)
========================================================================================================================
Total RPC Calls: 98

Prefill Wall-Clock Time:
  Total: 1.9065 s

Communication Time:
  Total: 0.7421 s (7.572 ms/call)

GPU Computation Time:
  Total: 0.0233 s (0.238 ms/call)

TEE Computation Time (Prefill - GPU - Comm):
  Total: 1.1411 s (11.644 ms/call)

Operation Statistics:
  Linear (count=112):
    Avg Total: 12.304 ms
    Avg TEE:   8.584 ms
    Avg GPU:   0.172 ms
    Avg Comm:  3.548 ms
  Matmul (count=32):
    Avg Total: 13.320 ms
    Avg TEE:   2.461 ms
    Avg GPU:   0.127 ms
    Avg Comm:  10.732 ms
========================================================================================================================
